"PRODUCT_SKU";"CAT_1";"CAT_2";"PICTURE_URL";"BRAND";"SHIPPED_ITEM";"SHIPPED_ITEM_BEF_REJECTION";"GRS_REVENUE_BEF_REJECTION";"GRS_REVENUE_BEF_CANCELLATION";"AVAIL_BY_SIZE";"PAGE_VIEWS";"VISITORS";"IMPRESSIONS";"CLICS";"STOCK";"AVAILABILITY";"CURRENT_SELLOUT_ITEMS";"BLACKPRICE";"DISCOUTPRICE";"GROSSTURNOVEER";"RANK"
"BA097AWDEC61";"FOOTWEAR";"ANKLE BOOTS";"/B/A/BA097AWDEC61_1.jpg";"Baldinini";5;9;232841,186004366802303254912198080236755;407969,186004366802303254912198080236755;"36:0 | 37:0 | 38:0 | 40:0 | 39:1 | Grand total:1";663;555;70319;338;1;0,2;0,5333333333333333333333333333333333333333;34990;31490;46,8;30
"LA002AWBOK56";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOK56_1.jpg";"Lamania";70;99;152035,4216418224068840418247989022424582;391484,8046990951502968078032935978366082;"36:0 | 37:0 | 39:0 | 40:0 | 38:1 | Grand total:1";2529;1898;348406;1228;1;0,2;0,6903225806451612903225806451612903225806;3490;1740;33,86842105263157894736842105263157894743;31
"BU902AWCUT79";"FOOTWEAR";"ANKLE BOOTS";"/B/U/BU902AWCUT79_1.jpg";"Buffalo London";18;35;162277,0091510576057241666077195631210349;389290,8345040040556835217600863791397825;"36:0 | 37:0 | 38:0 | 39:0 | 40:0 | 41:0 | Grand total:0";1777;1212;71936;757;0;0;0,7528089887640449438202247191011235955056;8990;5840;227,5;32
"SC963AWCMO45";"FOOTWEAR";"ANKLE BOOTS";"/S/C/SC963AWCMO45_1.jpg";"Schutz";2;3;18456,8421506514054429193172004089889596;377054,2244970166371373179161099371005276;"34:0 | 36:0 | 37:0 | 38:0 | 39:0 | 40:0 | 41:0 | Grand total:0";525;371;13096;212;0;0;0,2916666666666666666666666666666666666667;9390;6100;26;33
"BA097AWCRG52";"FOOTWEAR";"ANKLE BOOTS";"/B/A/BA097AWCRG52_1.jpg";"Baldinini";6;10;177516,0548026547844466145757601573889676;375728,034003441387245611487096500319032;"36:0 | 37:0 | 38:0 | 39:0 | 40:0 | Grand total:0";539;431;75836;301;0;0;0,7142857142857142857142857142857142857143;27490;24740;52;34
"DO005AWCIM67";"FOOTWEAR";"ANKLE BOOTS";"/D/O/DO005AWCIM67_1.jpg";"Dorothy Perkins";72;107;145557,3430580882497944520411155814049589;357708,7942148474509399567239108309611859;"8:0 | 7:7 | 3:45 | 4:49 | 6:61 | 5:66 | Grand total:228";5414;4293;847656;3044;228;0,833333333;0,1501501501501501501501501501501501501502;2990;1790;5,2195121951219512195121951219512195122;35
"RO233AWCQB80";"FOOTWEAR";"ANKLE BOOTS";"/R/O/RO233AWCQB80_1.jpg";"Roberto Botticelli";3;11;185829,2148017340557974042744868939265048;347513,7050032799023408030720586136094591;"36:0 | 37:0 | 38:0 | 39:0 | 40:0 | Grand total:0";332;236;39120;168;0;0;0,625;26990;22940;95,33333333333333333333333333333333333329;36
"MA266AWDEF48";"FOOTWEAR";"ANKLE BOOTS";"/M/A/MA266AWDEF48_1.jpg";"Marc O'Polo";17;24;140273,3701712288993546302598033654927472;344099,866581522155667208415488227030171;"4,5:0 | 4:0 | 5,5:0 | 6,5:0 | 6:0 | 7:1 | 3,5:2 | 5:3 | Grand total:6";997;720;217354;568;6;0,375;0,4;12990;9090;21,51724137931034482758620689655172413794;37
"LA002AWBOK54";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOK54_1.jpg";"Lamania";72;105;182175,2845471677440001828414646628883439;343687,8912028617756068762935258430693119;"36:0 | 37:0 | 40:0 | 38:1 | 39:36 | Grand total:37";3462;2460;390842;1353;37;0,4;0,7188498402555910543130990415335463258786;2990;1940;18,2;38
"DO005AWBWC33";"FOOTWEAR";"ANKLE BOOTS";"/D/O/DO005AWBWC33_1.jpg";"Dorothy Perkins";84;109;119234,6817263648062894013090004278724541;337173,0330117328175674294529283810072255;"7:0 | 8:0 | 5:14 | 3:21 | 6:27 | 4:34 | Grand total:96";5426;4062;727326;2876;96;0,666666667;0,4226804123711340206185567010309278350515;2490;1240;10,4962962962962962962962962962962962963;39
"AS069AWCTM74";"FOOTWEAR";"ANKLE BOOTS";"/A/S/AS069AWCTM74_1.jpg";"Ash";17;39;208359,8215019908051430446517562682593481;337041,1505020853853367611121437565841627;"36:0 | 38:0 | 39:0 | 40:0 | 37:1 | Grand total:1";895;608;139733;444;1;0,2;0,7758620689655172413793103448275862068966;7990;6790;56,33333333333333333333333333333333333329;40
"DR004AWCSM79";"FOOTWEAR";"ANKLE BOOTS";"/D/R/DR004AWCSM79_1.jpg";"Dr. Martens";22;37;194842,5223984591218233138685331675125546;334155,9509957957679400961518980984950856;"4:0 | 5:0 | 6,5:0 | 6:0 | 7:0 | 3:1 | Grand total:1";1350;979;293094;845;1;0,166666667;0,6315789473684210526315789473684210526316;7990;6390;45,80952380952380952380952380952380952376;41
"LA002AWBOE88";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOE88_1.jpg";"Lamania";91;108;114908,7336497968937601869450583123414658;332063,6438840604546219894989150796549953;"40:0 | 36:20 | 38:27 | 39:31 | 37:39 | Grand total:117";2743;2064;609888;1722;117;0,8;0,2902208201892744479495268138801261829653;2690;1210;8,74766355140186915887850467289719626168;42
"LA002AWBMP65";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBMP65_1.jpg";"Lamania";85;112;132899,3323593477288992194369557463113788;331031,5174173564798213341798649558138769;"36:0 | 37:0 | 38:0 | 39:0 | 40:0 | Grand total:0";5443;3864;372206;1709;0;0;0,7462686567164179104477611940298507462687;2490;1240;39,89041095890410958904109589041095890409;43
"DO005AWDDL22";"FOOTWEAR";"ANKLE BOOTS";"/D/O/DO005AWDDL22_1.jpg";"Dorothy Perkins";46;69;117407,3014979788954749911805143893603602;329619,7574110662654732604354432994442768;"7:0 | 8:0 | 6:7 | 3:9 | 5:12 | 4:15 | Grand total:43";2417;1960;493280;1649;43;0,666666667;0,2941176470588235294117647058823529411765;4190;2300;13,69465648854961832061068702290076335873;44
"LA002AWBOK65";"FOOTWEAR";"ANKLE BOOTS";"/L/A/LA002AWBOK65_1.jpg";"Lamania";97;124;136339,7809695191016389979314402731793974;323249,0984175685381006656186684146638304;"36:0 | 40:0 | 37:14 | 38:23 | 39:38 | Grand total:75";4803;3919;804184;2868;75;0,6;0,4952978056426332288401253918495297805643;2490;1240;13,15918367346938775510204081632653061229;45
